time,total_energy,kinetic_energy,potential_energy
1.66,2.46703,0.665092,1.80194
1.67,2.46703,0.714274,1.75276
1.68,2.46703,0.764481,1.70255
1.69,2.46703,0.815613,1.65142
1.7,2.46703,0.86757,1.59946
1.71,2.46703,0.92025,1.54678
1.72,2.46703,0.973548,1.49348
1.73,2.46703,1.02736,1.43967
1.74,2.46703,1.08158,1.38545
1.75,2.46703,1.13609,1.33094
1.76,2.46703,1.1908,1.27623
1.77,2.46703,1.2456,1.22143
1.78,2.46703,1.30037,1.16666
1.79,2.46703,1.35501,1.11202
1.8,2.46703,1.4094,1.05763
1.81,2.46703,1.46346,1.00357
1.82,2.46703,1.51705,0.949977
1.83,2.46703,1.57009,0.896939
1.84,2.46703,1.62246,0.844565
1.85,2.46703,1.67407,0.792959
1.86,2.46703,1.72481,0.742222
1.87,2.46703,1.77457,0.692455
1.88,2.46703,1.82327,0.643756
1.89,2.46703,1.87081,0.596221
1.9,2.46703,1.91709,0.549943
1.91,2.46703,1.96202,0.505014
1.92,2.46703,2.00551,0.461523
1.93,2.46703,2.04747,0.419556
1.94,2.46703,2.08783,0.379195
1.95,2.46703,2.12651,0.34052
1.96,2.46703,2.16342,0.303608
1.97,2.46703,2.1985,0.26853
1.98,2.46703,2.23167,0.235357
1.99,2.46703,2.26288,0.204154
